,date,lat,lon,mask,lst,lstn,ndvi,vcr,prec,ma_cat
0,2019-06-02,39.73749999644011,-122.29583332237743,9.0,310.26,290.9216931216929,0.3108,0.59,0.7180651426315308,1
1,2019-06-10,39.73749999644011,-122.29583332237743,5.0,323.92,290.9216931216929,0.2526,0.59,0.0,0
2,2019-06-18,39.73749999644011,-122.29583332237743,5.0,309.3387698986973,297.9000000000001,0.2526,0.59,0.0,0
3,2019-06-02,39.72916666310753,-122.29583332237743,9.0,310.36,290.9216931216929,0.31980000000000003,0.57,0.7180651426315308,1
4,2019-06-10,39.72916666310753,-122.29583332237743,5.0,321.9000000000001,290.9216931216929,0.267,0.57,0.0,0
5,2019-06-18,39.72916666310753,-122.29583332237743,5.0,309.3387698986973,297.82,0.267,0.57,0.0,0
6,2019-06-02,39.220833329819726,-121.3041666557996,5.0,302.64,290.9216931216929,0.6064,0.6,1.3396663665771484,0
7,2019-06-10,39.220833329819726,-121.3041666557996,5.0,304.96,290.9216931216929,0.5611,0.6,0.17256484925746918,0
8,2019-06-18,39.220833329819726,-121.3041666557996,5.0,312.62,295.66,0.5611,0.6,0.0,0
9,2019-06-02,38.07083332992275,-122.13749998905828,5.0,299.16,286.8400000000001,0.3352,0.28,0.16665488481521604,0
10,2019-06-10,38.07083332992275,-122.13749998905828,5.0,316.92,290.9216931216929,0.33399999999999996,0.28,0.07877366244792937,0
11,2019-06-18,38.07083332992275,-122.13749998905828,5.0,309.3387698986973,287.68,0.33399999999999996,0.28,0.0,0
12,2019-06-02,38.02083332992723,-122.062499989065,5.0,300.3400000000001,288.98,0.2596,0.28,0.454933226108551,0
13,2019-06-10,38.02083332992723,-122.062499989065,5.0,318.66,290.9216931216929,0.2686,0.28,0.0,0
14,2019-06-18,38.02083332992723,-122.062499989065,5.0,309.3387698986973,290.08,0.2686,0.28,0.0,0
15,2019-06-02,38.004166663262055,-121.9291666557436,5.0,302.82,290.9216931216929,0.3156,0.75,0.454933226108551,0
16,2019-06-10,38.004166663262055,-121.9291666557436,5.0,315.96,290.9216931216929,0.2531,0.75,0.0,0
17,2019-06-18,38.004166663262055,-121.9291666557436,5.0,311.36,292.9000000000001,0.2531,0.75,0.0,0
18,2019-06-02,37.88749999660585,-121.1874999891434,5.0,308.16,290.9216931216929,0.33030000000000004,0.68,0.5249975323677063,0
19,2019-06-10,37.88749999660585,-121.1874999891434,5.0,317.2,290.9216931216929,0.3772,0.68,0.0,0
20,2019-06-18,37.88749999660585,-121.1874999891434,5.0,315.1,293.3400000000001,0.3772,0.68,0.304767906665802,0
21,2019-06-02,37.45416666331133,-121.9291666557436,3.0,302.36,290.9216931216929,0.3037,0.55,0.1622900366783142,0
22,2019-06-10,37.45416666331133,-121.9291666557436,5.0,316.02,290.9216931216929,0.2781,0.55,0.14742515981197354,0
23,2019-06-18,37.45416666331133,-121.9291666557436,5.0,307.52,291.36,0.2781,0.55,0.0,0
24,2019-06-02,37.18749999666855,-121.679166655766,5.0,301.5,290.9216931216929,0.2338,0.64,0.1621328443288803,0
25,2019-06-10,37.18749999666855,-121.679166655766,5.0,309.3387698986973,290.9216931216929,0.28200000000000003,0.64,0.0,0
26,2019-06-18,37.18749999666855,-121.679166655766,5.0,309.94,289.3400000000001,0.28200000000000003,0.64,0.0,0
27,2019-06-02,34.62083333023182,-117.09583332284329,5.0,318.22,290.9216931216929,0.1285,0.26,0.06605811417102814,0
28,2019-06-10,34.62083333023182,-117.09583332284329,5.0,310.44,295.24,0.1419,0.26,0.0,0
29,2019-06-18,34.62083333023182,-117.09583332284329,5.0,322.24,292.1,0.1419,0.26,0.0,0
30,2019-06-02,34.62083333023182,-117.10416665617586,5.0,316.46,290.9216931216929,0.1332,0.18,0.06605811417102814,0
31,2019-06-10,34.62083333023182,-117.10416665617586,5.0,310.44,294.8,0.124,0.18,0.0,0
32,2019-06-18,34.62083333023182,-117.10416665617586,5.0,322.3,291.88,0.124,0.18,0.0,0
33,2019-06-02,34.35416666358904,-116.85416665619827,5.0,313.7,286.8400000000001,0.1563,0.29,0.0,0
34,2019-06-10,34.35416666358904,-116.85416665619827,8.0,309.3387698986973,291.72,0.2179,0.29,0.0,1
35,2019-06-18,34.35416666358904,-116.85416665619827,5.0,318.5,292.36,0.2179,0.29,0.0,0
36,2019-06-02,33.57083333032588,-116.14583332292837,5.0,319.3400000000001,293.52,0.1866,0.41,0.0,0
37,2019-06-10,33.57083333032588,-116.14583332292837,5.0,309.3387698986973,294.3,0.1794,0.41,0.0,0
38,2019-06-18,33.57083333032588,-116.14583332292837,5.0,325.26,295.2,0.1794,0.41,0.0,0
39,2019-06-02,39.96249999641996,-122.22916665571674,9.0,309.08,290.9216931216929,0.4531,0.7,0.7517513036727905,1
40,2019-06-10,39.96249999641996,-122.22916665571674,5.0,311.76,290.9216931216929,0.4265000000000001,0.7,0.0,0
41,2019-06-18,39.96249999641996,-122.22916665571674,5.0,309.3387698986973,296.48,0.4265000000000001,0.7,0.0,0
42,2019-06-02,37.662499996626,-121.52083332244686,5.0,311.08,290.9216931216929,0.2158,0.79,0.23564471304416654,0
43,2019-06-10,37.662499996626,-121.52083332244686,5.0,321.54,290.9216931216929,0.1879,0.79,0.0,0
44,2019-06-18,37.662499996626,-121.52083332244686,5.0,321.54,294.76,0.1879,0.79,0.05606687441468239,0
45,2019-06-02,37.6541666632934,-121.52916665577943,5.0,310.92,290.9216931216929,0.2233,0.79,0.23564471304416654,0
46,2019-06-10,37.6541666632934,-121.52916665577943,5.0,322.44,290.9216931216929,0.19399999999999998,0.79,0.0,0
47,2019-06-18,37.6541666632934,-121.52916665577943,5.0,321.2,294.58,0.19399999999999998,0.79,0.05606687441468239,0
48,2019-06-02,38.63749999653865,-122.79583332233265,5.0,296.42,290.9216931216929,0.5387000000000001,0.74,0.0,0
49,2019-06-10,38.63749999653865,-122.79583332233265,5.0,310.08,290.9216931216929,0.5568000000000001,0.74,0.0,0
50,2019-06-18,38.63749999653865,-122.79583332233265,5.0,309.3387698986973,288.94,0.5568000000000001,0.74,0.0,0
51,2019-06-02,39.75416666310528,-122.27916665571226,5.0,307.7,290.9216931216929,0.5731,0.82,0.7180651426315308,0
52,2019-06-10,39.75416666310528,-122.27916665571226,5.0,315.92,290.9216931216929,0.4789000000000001,0.82,0.0,0
53,2019-06-18,39.75416666310528,-122.27916665571226,5.0,309.3387698986973,296.74,0.4789000000000001,0.82,0.0,0
54,2019-06-02,39.75416666310528,-122.28749998904483,5.0,307.96,290.9216931216929,0.4713,0.63,0.7180651426315308,0
55,2019-06-10,39.75416666310528,-122.28749998904483,5.0,315.16,290.9216931216929,0.4567,0.63,0.0,0
56,2019-06-18,39.75416666310528,-122.28749998904483,5.0,309.3387698986973,296.82,0.4567,0.63,0.0,0
57,2019-06-02,34.604166663566645,-117.3374999894883,5.0,317.18,290.9216931216929,0.1269,0.08,0.10416439175605774,0
58,2019-06-10,34.604166663566645,-117.3374999894883,5.0,312.48,292.54,0.131,0.08,0.0,0
59,2019-06-18,34.604166663566645,-117.3374999894883,5.0,321.48,289.32,0.131,0.08,0.0,0
60,2019-06-02,37.879166663273246,-121.1874999891434,5.0,307.68,290.9216931216929,0.2095,0.5,0.5249975323677063,0
61,2019-06-10,37.879166663273246,-121.1874999891434,5.0,314.1,290.9216931216929,0.2546,0.5,0.0,0
62,2019-06-18,37.879166663273246,-121.1874999891434,5.0,314.36,292.86,0.2546,0.5,0.304767906665802,0
63,2019-06-02,34.61249999689923,-117.3374999894883,5.0,316.98,290.9216931216929,0.0844,0.05,0.10416439175605774,0
64,2019-06-10,34.61249999689923,-117.3374999894883,5.0,312.48,291.92,0.2041,0.05,0.0,0
65,2019-06-18,34.61249999689923,-117.3374999894883,5.0,320.54,290.9216931216929,0.2041,0.05,0.0,0
66,2019-06-02,33.820833330303486,-117.11249998950844,5.0,309.3387698986973,290.9216931216929,0.258,0.5,0.0,0
67,2019-06-10,33.820833330303486,-117.11249998950844,5.0,309.3387698986973,293.08,0.2508,0.5,0.0,0
68,2019-06-18,33.820833330303486,-117.11249998950844,5.0,317.14,288.7,0.2508,0.5,0.0,0
69,2019-06-02,36.729166663376276,-119.74583332260588,5.0,315.88,294.32,0.31370000000000003,0.6,0.06790359318256378,0
70,2019-06-10,36.729166663376276,-119.74583332260588,5.0,314.22,295.26,0.26830000000000004,0.6,0.0,0
71,2019-06-18,36.729166663376276,-119.74583332260588,5.0,309.3387698986973,300.08,0.26830000000000004,0.6,0.3065961301326752,0
72,2019-06-02,37.270833329994424,-120.60416665586231,5.0,312.58,291.74,0.2636,0.69,0.0,0
73,2019-06-10,37.270833329994424,-120.60416665586231,5.0,320.08,290.9216931216929,0.3632,0.69,0.0,0
74,2019-06-18,37.270833329994424,-120.60416665586231,5.0,314.46,295.1,0.3632,0.69,0.11190496385097504,0
75,2019-06-02,37.10416666334268,-120.38749998921507,5.0,308.36,291.3400000000001,0.4331,0.63,0.050522856414318085,0
76,2019-06-10,37.10416666334268,-120.38749998921507,5.0,309.3387698986973,290.9216931216929,0.4485,0.63,0.0,0
77,2019-06-18,37.10416666334268,-120.38749998921507,5.0,312.44,294.44,0.4485,0.63,0.1021335870027542,0
78,2019-06-02,37.10416666334268,-120.39583332254765,5.0,306.3,291.2800000000001,0.4486,0.69,0.050522856414318085,0
79,2019-06-10,37.10416666334268,-120.39583332254765,5.0,309.3387698986973,290.9216931216929,0.30260000000000004,0.69,0.0,0
80,2019-06-18,37.10416666334268,-120.39583332254765,5.0,311.36,294.38,0.30260000000000004,0.69,0.1021335870027542,0
81,2019-06-02,34.08749999694626,-117.52916665613779,5.0,309.3387698986973,290.9216931216929,0.1467,0.0,0.0,0
82,2019-06-10,34.08749999694626,-117.52916665613779,5.0,309.3387698986973,294.74,0.1811,0.0,0.0,0
83,2019-06-18,34.08749999694626,-117.52916665613779,5.0,313.42,290.22,0.1811,0.0,0.0,0
84,2019-06-02,34.09583333027885,-117.52916665613779,8.0,309.3387698986973,290.9216931216929,0.0888,0.05,0.0,1
85,2019-06-10,34.09583333027885,-117.52916665613779,5.0,309.3387698986973,295.18,0.1141,0.05,0.0,0
86,2019-06-18,34.09583333027885,-117.52916665613779,5.0,313.92,290.8400000000001,0.1141,0.05,0.0,0
87,2019-06-02,38.004166663262055,-121.9374999890762,5.0,302.82,290.9216931216929,0.3156,0.79,0.454933226108551,0
88,2019-06-10,38.004166663262055,-121.9374999890762,5.0,315.96,290.9216931216929,0.2531,0.79,0.0,0
89,2019-06-18,38.004166663262055,-121.9374999890762,5.0,311.36,292.9000000000001,0.2531,0.79,0.0,0
93,2019-06-02,34.09583333027885,-117.53749998947036,8.0,309.3387698986973,290.9216931216929,0.0888,0.01,0.0,1
94,2019-06-10,34.09583333027885,-117.53749998947036,5.0,309.3387698986973,295.18,0.1141,0.01,0.0,0
95,2019-06-18,34.09583333027885,-117.53749998947036,5.0,313.92,290.8400000000001,0.1141,0.01,0.0,0
96,2019-06-02,34.24583333026541,-118.45416665605492,5.0,309.3387698986973,290.9216931216929,0.2771,0.59,0.0,0
97,2019-06-10,34.24583333026541,-118.45416665605492,5.0,309.3387698986973,290.9216931216929,0.2781,0.59,0.0,0
98,2019-06-18,34.24583333026541,-118.45416665605492,5.0,309.3387698986973,290.9216931216929,0.2781,0.59,0.0,0
99,2019-06-02,35.81249999679172,-119.22916665598551,5.0,309.04,290.9216931216929,0.5733,0.79,0.3189620673656464,0
100,2019-06-10,35.81249999679172,-119.22916665598551,5.0,305.48,290.9216931216929,0.5249,0.79,0.0,0
101,2019-06-18,35.81249999679172,-119.22916665598551,5.0,313.62,290.9216931216929,0.5249,0.79,0.0,0
102,2019-06-02,36.445833330068325,-119.19583332265516,5.0,309.3,290.9216931216929,0.5534,0.71,0.19429126381874084,0
103,2019-06-10,36.445833330068325,-119.19583332265516,5.0,313.0,290.9216931216929,0.6109,0.71,0.0,0
104,2019-06-18,36.445833330068325,-119.19583332265516,5.0,314.76,290.9216931216929,0.6109,0.71,0.4317278861999512,0
105,2019-06-02,37.54583332996978,-119.83749998926432,5.0,299.42,290.9216931216929,0.6553,0.66,0.36413705348968506,0
106,2019-06-10,37.54583332996978,-119.83749998926432,5.0,298.22,290.9216931216929,0.6403,0.66,0.0,0
107,2019-06-18,37.54583332996978,-119.83749998926432,5.0,305.24,289.36,0.6403,0.66,0.5472064018249512,0
108,2019-06-02,37.54583332996978,-119.84583332259692,5.0,298.82,290.9216931216929,0.7251000000000001,0.56,0.36413705348968506,0
109,2019-06-10,37.54583332996978,-119.84583332259692,5.0,296.9000000000001,290.9216931216929,0.7023,0.56,0.0,0
110,2019-06-18,37.54583332996978,-119.84583332259692,5.0,304.52,289.66,0.7023,0.56,0.5472064018249512,0
111,2019-06-02,37.49583332997425,-120.57083332253195,5.0,303.2800000000001,292.66,0.5592,0.63,0.0,0
112,2019-06-10,37.49583332997425,-120.57083332253195,5.0,301.52,290.9216931216929,0.5294,0.63,0.0,0
113,2019-06-18,37.49583332997425,-120.57083332253195,5.0,308.32,295.7800000000001,0.5294,0.63,0.0,0
114,2019-06-02,38.137499996583436,-121.44583332245358,5.0,305.82,290.9216931216929,0.4887,0.87,0.5558187961578369,0
115,2019-06-10,38.137499996583436,-121.44583332245358,5.0,313.4000000000001,290.9216931216929,0.6536000000000001,0.87,0.0,0
116,2019-06-18,38.137499996583436,-121.44583332245358,5.0,311.54,289.44,0.6536000000000001,0.87,0.15024180710315704,0
117,2019-06-02,38.71249999653193,-121.8708333224155,5.0,304.72,290.9216931216929,0.5075000000000001,0.84,0.4120643138885498,0
118,2019-06-10,38.71249999653193,-121.8708333224155,5.0,308.42,290.9216931216929,0.5433,0.84,0.0,0
119,2019-06-18,38.71249999653193,-121.8708333224155,5.0,310.8400000000001,291.96,0.5433,0.84,0.0,0
120,2019-06-02,38.70416666319935,-121.8708333224155,5.0,305.48,290.9216931216929,0.6364000000000001,0.78,0.4120643138885498,0
121,2019-06-10,38.70416666319935,-121.8708333224155,5.0,308.14,290.9216931216929,0.6385000000000001,0.78,0.0,0
122,2019-06-18,38.70416666319935,-121.8708333224155,5.0,310.92,292.1,0.6385000000000001,0.78,0.0,0
