,latitude,longitude
0,39.738859999999995,-122.29385
1,39.734,-122.29448000000001
2,39.72914,-122.29508
3,39.73642,-122.29263999999999
4,39.731559999999995,-122.29321000000002
5,39.7267,-122.29382
6,39.21675,-121.30349
7,38.07219,-122.14003999999998
8,38.02345,-122.06379
9,38.00405,-121.93251000000001
10,38.02264,-122.06338000000001
11,38.00244,-121.93221000000001
12,37.884190000000004,-121.18368999999998
13,37.45374,-121.92998999999999
14,37.18351,-121.67766999999999
15,34.62276,-117.09827
16,34.62287,-117.10112
17,34.35204,-116.85043
18,33.57488,-116.1462
19,33.571509999999996,-116.14688999999998
20,33.5709,-116.14258999999998
21,39.962509999999995,-122.23122
22,39.73673,-122.29482
23,39.72902,-122.29182
24,37.658770000000004,-121.52323
25,37.657740000000004,-121.5286
26,38.63479,-122.79393
27,38.63557,-122.79626
28,39.75445,-122.28023999999999
29,39.7512,-122.28483999999999
30,39.751,-122.27863
31,34.60818,-117.33811000000001
32,33.574670000000005,-116.14743999999999
33,33.570029999999996,-116.1435
34,39.75475,-122.2804
35,37.88217,-121.18506000000001
36,37.88231,-121.18401000000001
37,34.608940000000004,-117.33643000000001
38,34.6045,-117.33546000000001
39,33.81824,-117.1109
40,36.72722,-119.74625
41,37.270559999999996,-120.6028
42,37.10512,-120.38869
43,37.101690000000005,-120.39246000000001
44,34.60906,-117.33946999999999
45,34.60618,-117.33792
46,34.09046,-117.53168000000001
47,34.09486,-117.53081999999999
48,33.56957,-116.14485
49,37.883759999999995,-121.18587
50,38.00585,-121.93476000000001
51,37.10374,-120.38926000000001
52,34.620309999999996,-117.10321
53,34.61911,-117.09877
54,34.60775,-117.33621000000001
55,32.590720000000005,-115.48753
56,34.09592,-117.53758
57,34.245020000000004,-118.45741000000001
58,35.81627,-119.2264
59,36.44575,-119.19613999999999
60,37.5499,-119.84029
61,37.54873,-119.84467
62,37.49558,-120.57236999999999
63,38.14107,-121.44993000000001
64,38.709920000000004,-121.86712
65,38.70746,-121.8689
66,39.1786,-121.64416999999999
67,39.17719,-121.64915
68,39.64958,-121.86153999999999
69,39.72977,-122.3018
70,39.73127,-122.29666999999999
71,39.73689,-122.29921999999999
72,39.7339,-122.30949
73,39.73539,-122.30436
74,39.96412,-122.22991
75,39.96267,-122.23501
76,39.96471,-122.22758
77,39.963229999999996,-122.23263
78,39.96176,-122.23771
79,40.15032,-122.14803
80,40.38147,-122.19453
81,37.5478,-119.83915
82,37.54675,-119.84182
83,37.58866,-120.65808999999999
84,39.17928,-121.64698
85,39.6514,-121.86108
86,39.648759999999996,-121.85905
87,39.965270000000004,-122.23002
88,39.9655,-122.22583999999999
89,40.14882,-122.14555
90,40.14857,-122.14978
91,40.15297,-122.14778000000001
92,40.150009999999995,-122.14487
93,39.739329999999995,-122.29876999999999
94,39.73603,-122.29971
95,39.72867,-122.29705
96,37.707240000000006,-118.90375
97,37.703559999999996,-118.90522
98,38.16137,-122.56651000000001
99,38.0704,-122.14008999999999
100,37.88098,-121.18393999999999
101,38.00266,-121.93498000000001
102,38.03046,-122.09631
103,38.00195,-121.93256000000001
104,37.94939,-122.39986999999999
105,37.756159999999994,-121.66108999999999
106,37.540929999999996,-120.73146000000001
107,37.455020000000005,-121.9317
108,37.45604,-121.9334
109,37.1853,-121.6799
110,36.668859999999995,-119.62141000000001
111,36.48062,-119.22858000000001
112,34.62194,-117.10179
113,34.60651,-117.33795
114,34.35285,-116.85193000000001
115,35.05465,-118.88977
116,35.10245,-119.44865
117,37.412279999999996,-120.50066000000001
118,38.0531,-120.76381
119,38.17685,-121.33076000000001
120,38.88196,-121.35673
121,38.71477,-121.86323
122,40.1527,-122.15144
123,32.46318,-116.74915
124,33.191759999999995,-115.4926
125,33.299009999999996,-115.5409
126,34.093340000000005,-117.52995
127,35.05336,-118.88756000000001
128,35.91721,-119.08379
129,35.92181,-119.0843
130,38.17649,-121.32551000000001
131,38.17603,-121.33028999999999
132,38.70942,-121.86681000000002
133,39.008309999999994,-122.16957
134,39.10134,-122.18156
135,39.64803,-121.8594
136,39.95745,-121.05582
137,39.957,-121.06114
138,39.96632,-122.22502
139,39.96587,-122.22968999999999
140,40.150940000000006,-122.14809
141,40.14959,-122.14668999999999
142,40.15222,-122.14686
143,38.62103,-123.30186
144,38.15878,-121.42822
145,38.301190000000005,-122.74925
146,37.70919,-118.90543999999998
147,37.705220000000004,-118.90196999999999
148,38.159440000000004,-122.56343999999999
149,38.07148,-122.14061000000001
150,38.004709999999996,-121.93338999999999
151,38.01455,-122.11328999999999
152,37.94376,-122.39371000000001
153,37.75497,-121.65887
154,37.3165,-122.09045
155,37.183209999999995,-121.68172
156,34.62271,-117.10112
157,34.607890000000005,-117.33769
158,34.35366,-116.85136999999999
159,34.47947,-118.89214
160,34.14307,-117.42528999999999
161,34.334109999999995,-118.51758999999998
162,34.31916,-118.5122
163,34.09217,-117.52806000000001
164,33.572379999999995,-116.14355
165,33.79467,-117.47433000000001
166,32.6433,-114.85906999999999
167,33.3349,-117.37794
168,33.33931,-117.37308999999999
169,33.33866,-117.37851
170,33.343059999999994,-117.37371
171,33.33489,-117.37501
172,33.33865,-117.3756
173,33.34303,-117.37082
174,36.82139,-118.95621000000001
175,36.89029,-119.89842
176,37.71888,-119.66153999999999
177,39.20532,-121.13355
178,39.648990000000005,-121.85552
179,39.73125,-122.30237
180,39.73523,-122.29852
181,39.7346,-122.30315
182,39.73794,-122.30393000000001
183,39.73858,-122.29928999999998
184,39.7373,-122.30856000000001
185,39.741929999999996,-122.30009
